feature,mean_abs_shap,rank
scheduled_dep_hour,0.46872373319483324,1
op_unique_carrier,0.16140603079669352,2
origin_prcp,0.11873987609927342,3
route_avg_dep_delay,0.1149114333060117,4
day_of_week,0.09464899624207745,5
dest_prcp,0.08146982586772063,6
origin_pres,0.07993723776432723,7
route_id,0.07709071100089956,8
origin,0.07116295177636504,9
month,0.05711066995464294,10
origin_tmin,0.05470885891363323,11
carrier_avg_dep_delay,0.05402450650596509,12
dest,0.040176950123878764,13
dest_tavg,0.03901650616621115,14
origin_bad_weather,0.030840645069992623,15
season,0.027944765284975817,16
origin_tmax,0.02792880023461195,17
dest_bad_weather,0.023283643708475972,18
origin_tavg,0.022833880625278368,19
origin_wspd,0.02046630964546219,20
dest_wspd,0.018461908393619334,21
origin_avg_dep_delay,0.005216388047250819,22
origin_snow,0.0034802381917052663,23
dest_wind_cat,0.0022692007621703107,24
origin_wind_cat,0.0020078883133748844,25
distance,0.001977475358240054,26
crs_elapsed_time,0.0014017320286679406,27
is_weekend,0.0009377592075064928,28
is_peak_hour,0.0008143538725406506,29
route_distance_bucket,0.0002115243332653001,30
